Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)",gdp
Paraguay,0.7927708625793457,0.7569485306739807,0.8466946184635162,0.8790608868002892,0.8580139875411987,0.9107430353760719,0.760580912232399,0.742274284362793,0.7881380915641785,0.6304118633270264,0.6120610535144806,0.6580355763435364,4.199881666141408
Peru,0.8443848490715027,0.8172122091054916,0.8855290859937668,0.909341536462307,0.8921947181224823,0.9353048950433731,0.8487635850906372,0.8401660323143005,0.8617818057537079,0.7588573694229126,0.7079401314258575,0.8359551578760147,13.349509077797663
Philippines,0.874343752861023,0.8245304375886917,0.9501336812973022,0.9044295474886894,0.8771323710680008,0.9459616243839264,0.8978615403175354,0.8768630474805832,0.9298103079199791,0.754652813076973,0.6732479631900787,0.8785085827112198,5.703155968406207
Poland,0.5997762978076935,0.5307589769363403,0.7033871412277222,0.7871244251728058,0.7637443393468857,0.8222233057022095,0.744016170501709,0.7156760394573212,0.7865612357854843,0.5368776619434357,0.44993746280670166,0.6673948764801025,5.732581695710891
Portugal,0.6209180057048798,0.5753821730613708,0.689293384552002,0.7508763372898102,0.7218889892101288,0.7944029569625854,0.7270030677318573,0.7288306951522827,0.7242587208747864,0.6883565485477448,0.636412650346756,0.7663541585206985,4.881210103065811
Romania,0.6282089352607727,0.5444158911705017,0.754108726978302,0.730128288269043,0.6756613254547119,0.8119653165340424,0.6696303188800812,0.5979008674621582,0.777404397726059,0.6504243910312653,0.6235281825065613,0.6908361613750458,5.879667885458218
Russian Federation,0.6536554992198944,0.5710817873477936,0.7777228206396103,0.8238654583692551,0.8154548406600952,0.8365024328231812,0.7557216882705688,0.7274729311466217,0.7981655448675156,0.4370216131210327,0.3450341820716858,0.5752330720424652,4.819791659635257
Saudi Arabia,0.45262157917022705,0.3657437562942505,0.5837107002735138,0.5823685526847839,0.5361404716968536,0.6521217226982117,0.5050393640995026,0.43952399492263794,0.6038948893547058,0.35117608308792114,0.26652318239212036,0.47890812158584595,3.2409297684804983
Senegal,0.8767583966255188,0.8436657637357712,0.9265942424535751,0.9082218930125237,0.8843911737203598,0.9441097602248192,0.8316366821527481,0.8339288085699081,0.8281848728656769,0.854760468006134,0.8242809325456619,0.9006611257791519,6.064495967521367
Serbia,0.46843332052230835,0.3696749806404114,0.6166107058525085,0.6314362287521362,0.5794038772583008,0.7095057368278503,0.620663583278656,0.5540065765380859,0.7206759750843048,0.49423283338546753,0.4525173306465149,0.5568229556083679,7.389270890223699
Sierra Leone,0.8699714243412018,0.8580568879842758,0.8878754526376724,0.9251813665032387,0.9129630774259567,0.9435418546199799,0.845474511384964,0.8187764436006546,0.8855938389897346,0.8856669068336487,0.8929423242807388,0.874734103679657,3.0502026946514604
Singapore,0.6849248111248016,0.6603903472423553,0.7218347489833832,0.800906166434288,0.7532631754875183,0.8725808411836624,0.768052339553833,0.7560673356056213,0.7860827296972275,0.6931839287281036,0.6675702929496765,0.7317173779010773,7.613962615026466
Slovak Republic,0.589966207742691,0.49490082263946533,0.7328725457191467,0.731687068939209,0.6888106763362885,0.796140655875206,0.7480700612068176,0.6989163160324097,0.8219600766897202,0.3574097156524658,0.27638453245162964,0.4792101979255676,3.020471750956162
Slovenia,0.4237940311431885,0.3182397484779358,0.582874596118927,0.6233628392219543,0.5578116774559021,0.7221548855304718,0.6820018589496613,0.6141917407512665,0.7841983586549759,0.3116481900215149,0.2304002046585083,0.4340968132019043,8.114558098542489
South Africa,0.7699070125818253,0.7143318355083466,0.8537266552448273,0.7728801965713501,0.7550776302814484,0.7997303754091263,0.7073262929916382,0.6737143099308014,0.7580205947160721,0.6629772484302521,0.6171626150608063,0.7320758402347565,4.914602660780318
Spain,0.4568861722946167,0.4268763065338135,0.5019927024841309,0.47659605741500854,0.47160816192626953,0.48409318923950195,0.6483136713504791,0.6267317831516266,0.6807524263858795,0.2851499915122986,0.2492334246635437,0.33913445472717285,5.129455127482601
