Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)"
Ireland,7.142878048359866,2.1510060381688976,1.9329563621658132,4.767835247468893,0.6495263920913699,8.652217083805812,2.2776831322119877,0.059250668960686426,11.994493865937685,3.633807179406557,-0.4703833044113179,5.33482974446457
Israel,6.070907593538547,2.394494330820778,2.113024951492824,4.0868961113605895,1.1682408349436981,4.595574395960232,3.562271940446502,3.658716729551501,6.722229066721001,-1.303175613502317,-2.381871671519157,0.6507137771683409
Italy,9.515714364828424,3.8034605619459336,3.7399104289405116,4.979304625563234,1.1217672092573325,6.287123226312727,-0.08087768633736747,0.222571623191417,4.18922840082796,3.0218569067386563,0.8936411035416256,4.232735441859934
Jamaica,-1.3398427777918,-0.9857424058267613,-0.3711529484365147,-1.8115446543517275,-0.7330013084712736,-1.2957058224916378,-1.8411147962225156,-2.4150620042822943,-1.321701502112635,-2.905255097639667,0.07560918412058815,-1.7847656348644299
Japan,1.881105475695291,0.5293905088398323,0.18700132402899072,-0.8120236165262722,-1.3684365580686553,-0.863142411291673,-1.3306356546096278,-0.7486789889071699,-1.0332700639636534,-2.2384156530047825,-1.883240082933559,-0.7725610453657463
Jordan,-2.12739978662263,-0.25802532938241196,-0.9496304364177601,-2.7430781461295504,-1.1651720868471176,-2.3672678557322415,0.5370371620333723,-0.005949569281542555,-0.8401391609971061,-0.18232198915936237,0.9947383255889748,-0.9187294202465055
Kazakhstan,-1.0425853276612955,-1.0780133281209552,-1.698698440440098,-1.8838726013431264,-0.6179056188661005,-2.5777446214735598,-1.725698221134638,-1.8243444120598316,-1.1558750573567513,-3.576574907675506,-3.230183132189608,-0.22755035386439193
Kenya,0.7059210828345901,3.8506632025038483,-0.6402398489326471,1.720879660539821,1.0792545856466784,1.404457531474578,2.1025382166013395,2.5883835848262504,-0.5414384059903554,2.8989580428156088,3.3132342794207013,-1.0688184271635754
"Korea, Rep.",1.9105390799567767,0.21103170903898727,-0.8036255484858308,-1.7820855447725439,-0.3301620595036594,-1.220016080885763,-0.2589177583934257,-0.6636066752528382,-0.5577688813040318,-3.4938927003302074,-2.847296725847122,-1.138903824854566
Kosovo,-0.836222637918598,0.37925134649841363,1.3743790864354644,1.0882271968053638,-0.06727129815596378,0.4757991108845272,1.2052704877971614,0.16846363968452938,0.5902114734127966,-0.06219294793949537,1.8062236897656079,0.18512667027776963
Kyrgyz Republic,-1.7246023571034288,-0.4120083413156177,-0.6005024708395479,-2.250476269423825,-0.4661831004673045,-2.8671103825937037,-1.752017239346376,-0.7597852052056933,1.9422519640709566,-2.589134784266548,-0.31127823911844477,-1.9938671852795373
Lao PDR,-2.399004879041725,-0.02190469283179608,-0.973173685023883,-0.4348144970700192,-0.40409075328393307,-1.3511745988273915,-0.7802687946050639,-0.35977248494602554,-1.4074543146863348,-2.607185556762099,-0.45759791031862385,-1.3787235731142093
Latvia,1.9712043219602047,-0.3102749671586853,0.4746633950164727,-1.4563013505181153,0.012754109020706395,-1.1045307248737997,-0.5687530472584705,-2.6527696933791916,3.1699448758070954,-2.7892158714640227,-2.4847449670317294,-0.36809812006357223
Lebanon,-7.089525799326086,-4.6794815531260845,-5.864398724814448,-4.991127891891608,-3.924418461070406,-4.810481748090046,-3.0990194499472707,-2.8420005187041717,-7.269542956850653,-2.216961681554988,-0.188839655883136,-1.9501074094393562
Liberia,-4.926933300897042,-2.496119310163528,-0.9537607426766765,-2.1084334469340487,-1.5143270925581893,-1.6986128805231817,-2.1643048562264244,-0.11729941203515626,-5.1153870266314225,2.1408923204397703,3.869741784433425,-1.5159271853981782
Lithuania,3.3477821929408007,0.7206694978727111,-0.1384688510564771,-0.40628858379819643,0.03355626876120876,-0.11921920518088935,-1.0619357986258136,-1.2508815682140624,1.9139382729510204,-1.0195928766016529,0.6799843528034144,-1.4697128946372393
Malawi,-5.170855653556665,-2.0726665212216284,-4.456001080498579,-2.841834766557256,-0.9047412030293298,-4.355006289047748,-1.5260253903105339,1.1549438274477377,-7.7810670689941865,4.746901936102107,5.902291523066718,-1.7044093314540318
Malaysia,0.0474195801510251,-0.5638191323619282,-0.3422714035842076,-1.787488275422632,-0.9061312079268924,-0.45192851617070406,-0.6319691072806028,-0.6516881696633132,-0.7059813753950119,-2.8782000480300676,-3.660772900071963,-2.3989153036134607
Mali,-5.268697860892146,-2.6442631286809126,-1.8065309427725058,-2.395313919180872,-1.7932751863096374,-2.282124514512128,-1.812459115807366,0.061414019548445165,-5.184795844817053,1.0310309630085723,2.2638285099141084,-1.6394693509888651
Malta,4.814020934090941,2.0536595312346178,1.3816064027416308,1.1803295156599751,0.8287788745591995,0.6210924728903182,0.7465607287263785,1.375540592867023,2.855631287004198,2.278992333187892,0.7425044831523859,2.5669631565325775
Mauritius,1.065018371774705,0.7596658028020356,2.8359210805866564,-1.383480945124089,-0.6277459252369155,0.04434808062971962,-0.8403816125506607,-0.2504597911957367,-0.6602621407610227,-0.594241163431553,0.07489142607057975,1.643127212177899
Moldova,-0.23962894911959243,0.7709011817755975,1.2452094550698662,2.0989817645421764,0.7519198559596569,1.9238007727437596,2.0456363706032494,2.7171489178950132,1.674953970255336,-0.10773946241737065,1.2901483675806045,0.1871648271019133
Mongolia,-0.9222114713414645,-1.2029637741944392,-1.2434522970961743,-0.3356847229503721,-1.0795893201985596,-2.2182471103825367,-1.5230371888277943,-1.3142603118588823,-1.8762747166589229,-1.4203496709365124,-2.8320491754140296,-0.7459259329721011
Morocco,-1.58262276897483,-0.11400140146294291,1.4769243797026816,-0.4282635153377985,-0.5309538881289975,0.3733106896634564,0.9986562417805787,0.06659036262195306,-1.913544668092503,0.33483062228914573,1.7005281052969334,-0.49688141569711286
Mozambique,-3.609293296744372,-1.2863715520755252,-1.1292047705622656,-0.7006506113911987,-0.5745765110889787,-2.107380486951924,-0.6416726792066734,0.2158645227004552,-2.5275820331292755,0.02422094734372715,1.3166490991505446,-2.6703445290073833
Namibia,-1.6251155683975431,-0.617642332783874,-0.1612363768544178,-2.397413908946167,-1.8158108213102544,-0.9530772082462444,-1.1175312116483243,-2.1020527918809186,-1.7440048362726515,-1.442312489014988,-0.030753457912310544,-1.0912638176766558
Nepal,-3.3019517374503926,-2.138592319814287,-0.20226479357078153,-0.7098707243329874,-0.9424632500493997,-3.1047632702158934,-0.07725311742679752,-1.6111646470902279,-1.4670602848009944,-3.1985189994068675,-0.05779892390992658,-2.966957602391928
Netherlands,7.551194112657388,2.0289220012961047,1.7937972213101996,6.621564333468729,4.147994171960839,4.207120878386539,3.249697111907154,1.0832544637489558,8.50738391334814,5.075209376627105,0.07158978576477804,6.499241910629173
New Zealand,6.382436187138558,1.369743157627442,1.5098236797678342,2.693646278883623,2.035013195678512,1.205581466083657,1.8686834938970547,-0.54913220045656,5.9429913733745,5.328016399538108,0.5698522103940649,6.831690919471209
Nicaragua,-1.6471742047616442,1.0423197622687224,0.6402567148815206,0.8741814370296126,1.3407120200619396,1.9697651826952014,1.993333387003493,1.514869335576316,0.18580889525768107,-1.1329437652050105,0.22232212004085827,0.04328030108167358
Nigeria,-3.0719733760038173,-0.7363953183018084,1.6358078123474533,-0.5239105559660295,-0.5092816979871226,0.005079541550562894,0.36545031780969417,1.049495804350316,-0.5723495815470665,0.015996925525925132,1.676300522231256,-0.15944942854464017
North Macedonia,-1.088189969216125,-1.4993485465642462,-0.20432357472497364,-1.3826023069348146,-1.4697199483024388,-2.181183746937842,-1.448453172653295,-1.7047048854071931,-1.079041478132265,-3.5512566093776456,-1.346557672238784,-2.2632118420037686
Pakistan,-3.625812124676335,-1.6705750545662772,-0.4771146414479377,-0.6445014181775541,0.3131031362516179,0.1932837849160789,0.7702458826522625,-0.15493107886528756,-2.054058455970565,-2.3824740079248423,-0.8844242404892642,-1.8041981334545985
Panama,-3.490778477775147,-1.415220531688783,-0.810351179047652,-1.6912706040890102,-1.5917971654450553,-3.749605161639286,-2.983884275844654,-1.6644566632687776,-1.3911103134342082,-1.5839664615329534,1.7691846071855446,-1.1844649379761893
Paraguay,-2.7193934646739435,-0.9885779152400325,0.31295726382156763,-0.6164409803430351,-0.5702319954600465,1.1666102560734033,1.2153062876019138,0.5648732934901881,-1.4311348500994479,-0.7214316790956046,-0.6208329929907856,-0.0761520375772422
Peru,-2.0923033229068264,0.5477632797908292,-0.9624116808583799,0.2254417664252486,0.005401224986481878,0.1968851269253742,0.3970237840340478,1.5899510847044502,0.7298562790029379,-1.2947794273270639,-0.23026258576087266,-1.2313060411640042
Philippines,-2.8493540616586857,0.23904048557378732,-3.013135004091102,0.29038704181054387,-0.180331507693283,-0.7606221057432427,-0.5978368441049788,0.8834863719237416,-3.0333972443523867,-0.7487879100135948,-0.6409832812210596,-0.718430690000464
Poland,-0.8182561866943382,-0.46868677663533176,-1.042658892046827,-0.9083805489112644,-0.03473085152309219,-0.025209354341579226,-0.22030436558273658,-1.1809485849267913,-0.08107621724737779,-2.513853446012606,-1.53300561943104,-0.5188210077265731
Portugal,0.7433364722148794,0.19436683224484863,-0.7316143588186992,-1.58780451916977,-0.31772669463289294,-0.9459648764907322,-0.2956114956471523,-0.7137416609398084,-0.009952234331437104,-1.3187738086911533,-2.3181062472615346,-1.0918185546765846
Romania,-2.7959579133669483,-2.3791630685076552,-1.3802071880610205,-2.111770546848515,-0.5216282666205174,-3.003454696333427,-2.838059451209171,-1.6239171018735163,-0.40598952265335164,-1.0480478444623698,-0.18118422190188,-1.9580584311036144
Russian Federation,-0.44302694836213163,-0.7192558532168893,-0.7726892414479631,0.45272589792087725,-0.12260868302218286,0.003475298413382122,-0.4256027669272231,-1.1152163708214475,-0.4339626293979846,0.9973221770860519,0.059610797843760555,-0.6713527449567804
Saudi Arabia,1.9798176893086685,0.11229361001362881,1.0045070611687166,-0.9965895573814683,-0.32343606533828373,-2.789987949778625,-0.3636872403813709,-2.0782546849711907,1.888808631765706,1.905962168311508,-0.6186638214631257,1.2479412643154855
Senegal,-2.475561783432068,0.42051932375277556,-0.8920888120889807,-0.15094401951980618,0.23800732230838095,-0.4225553106691917,0.6020574033972421,1.9314146200374385,-2.0094318891834506,1.6451920688601174,2.140904602508121,-1.0231052375156997
Serbia,3.524387680217435,1.658119975781199,0.7537812061950084,1.3013949665723006,-0.05059235191287481,0.12633200016940727,-0.9237919020730416,0.6172362640822266,-0.28020099292481593,-0.5925746067049085,-0.03494670177529802,-0.014255558499050913
Sierra Leone,-3.4930247002014863,-1.7953768847062586,0.36379616663203773,-2.4551053490124,-0.5999318152182997,-1.3129914904058135,0.17957961937577505,0.11573191446485831,-3.2237433917915412,1.9740752112114142,2.853400306995394,-1.5383000175190689
Singapore,1.5074519946078482,1.0726155822245742,0.04108340563816171,0.19937359029948132,0.5673091021403582,1.0444415811626042,0.18877208880817964,-0.1521281756755064,0.6947822007551112,-0.807257866706522,-0.6079217524087981,-0.2776197370889095
Slovak Republic,-0.6736079167945732,-0.7616958836657466,-1.0155155165568654,-2.576449162181352,-0.7626359113061998,-1.527937496533308,-0.3886060650920209,-1.5660060925585064,-0.8081145877099893,2.0452318047823566,-0.7841861454476424,2.277297551719321
Slovenia,4.8625463510486036,2.4509138392251795,1.1355060346860966,1.2717804692434034,1.2308061384164781,0.5852007883036339,0.6944838443531864,-0.9735970421601863,0.9586806960084227,4.207554005035698,0.6146730368125448,4.020600400487992
South Africa,-0.7938833998977946,-0.9109010181941881,0.3074563047395922,-1.5933219512582426,-1.406761172530386,-2.4493449397161786,-1.126505711892587,-1.7225185843826696,-1.2641182273874865,-2.2679095757053247,-2.209360927207019,-2.0390246431110213
Spain,4.052580186636961,0.6473715273328962,1.5623244779119512,4.668056922757554,1.1645041331357011,6.246514256703926,-0.6460000707970961,-0.7444037104614845,1.1182133470840947,4.799283823254049,0.3225810817256294,4.834724221901641
Sri Lanka,-2.001897490718105,-1.6471671303296382,1.3583505763918848,-1.2777625852281878,-0.1684818934086425,-2.224362504061237,-1.5703764184942095,-3.3054530922780248,-1.6538897952037614,-2.039681460547395,-0.08042009477529755,0.7773481269082381
Switzerland,7.088010446980814,2.0877487844813434,2.9847907123708453,5.054206250497029,1.372974287152699,7.212708259516319,3.0942067435913962,2.672055129713021,6.652906868153312,1.1181906266765775,-1.5781343157307086,4.218656568952702
Tajikistan,-1.858833475552261,-0.17130147547603292,-0.07639040491398341,-0.5614693125317718,-0.02089912442442765,-1.3492185389840907,1.1130775905839685,1.6772443335475629,3.556680451991997,-1.7445681348456876,0.6798445309439076,-1.1457270674043585
